Tiempo (s) Serie Nº 1	Pressió absoluta (torr) Serie Nº 1	Temperatura (°C) Serie Nº 1
228,600	20,479	6,67
228,800	20,430	6,67
229,000	20,234	6,67
229,200	20,398	6,67
229,400	20,594	6,68
229,600	20,316	6,67
229,800	20,676	6,67
230,000	20,512	6,67
230,200	20,561	6,67
230,400	20,676	6,67
230,600	20,610	6,67
230,800	20,627	6,66
231,000	20,561	6,67
231,200	20,643	6,67
231,400	20,496	6,67
231,600	20,676	6,67
231,800	20,987	6,67
232,000	21,019	6,67
232,200	20,823	6,68
232,400	20,758	6,67
232,600	20,823	6,67
232,800	20,627	6,68
233,000	20,643	6,68
233,200	20,610	6,68
233,400	20,839	6,68
233,600	20,774	6,68
233,800	20,561	6,68
234,000	20,692	6,68
234,200	20,692	6,69
234,400	20,659	6,69
234,600	20,709	6,69
234,800	20,872	6,68
235,000	20,774	6,69
235,200	20,938	6,68
235,400	20,774	6,68
235,600	20,758	6,68
235,800	20,676	6,68
236,000	20,921	6,68
236,200	21,085	6,68
236,400	20,938	6,69
236,600	20,839	6,69
236,800	21,036	6,69
237,000	20,676	6,69
237,200	20,709	6,69
237,400	20,889	6,69
237,600	21,150	6,69
237,800	21,101	6,68
238,000	21,134	6,69
238,200	21,085	6,68
238,400	20,889	6,69
238,600	21,069	6,68
238,800	20,987	6,69
239,000	21,118	6,69
239,200	21,199	6,68
239,400	21,134	6,68
239,600	21,314	6,68
239,800	20,905	6,69
240,000	21,118	6,68
240,200	21,199	6,68
240,400	21,134	6,68
240,600	21,134	6,69
240,800	21,150	6,69
241,000	21,281	6,69
241,200	21,118	6,68
241,400	21,216	6,68
241,600	21,036	6,68
241,800	21,265	6,68
242,000	21,281	6,68
242,200	21,412	6,69
242,400	21,167	6,68
242,600	20,905	6,68
242,800	21,134	6,69
243,000	21,003	6,68
243,200	21,249	6,68
243,400	21,281	6,68
243,600	21,052	6,68
243,800	21,199	6,68
244,000	21,281	6,68
244,200	21,265	6,68
244,400	21,036	6,68
244,600	21,314	6,69
244,800	20,872	6,69
245,000	21,101	6,68
245,200	21,019	6,68
245,400	21,003	6,69
245,600	21,265	6,68
245,800	21,150	6,69
246,000	21,199	6,68
246,200	21,118	6,69
246,400	21,085	6,69
246,600	21,379	6,69
246,800	21,101	6,69
247,000	21,428	6,69
247,200	21,298	6,69
247,400	21,347	6,69
247,600	21,101	6,68
247,800	21,428	6,69
248,000	21,445	6,69
248,200	21,412	6,69
248,400	21,510	6,69
248,600	21,592	6,69
248,800	21,379	6,69
249,000	21,445	6,69
249,200	21,543	6,69
249,400	21,281	6,69
249,600	21,330	6,69
249,800	21,265	6,69
250,000	21,674	6,69
250,200	21,265	6,69
250,400	21,199	6,69
250,600	21,216	6,69
250,800	21,461	6,69
251,000	21,330	6,69
251,200	21,461	6,69
251,400	21,478	6,69
251,600	21,478	6,69
251,800	21,592	6,69
252,000	21,510	6,69
252,200	21,723	6,69
252,400	21,461	6,69
252,600	21,396	6,69
252,800	21,347	6,69
253,000	21,707	6,69
253,200	21,608	6,68
253,400	21,543	6,69
253,600	21,756	6,69
253,800	21,674	6,69
254,000	21,641	6,69
254,200	21,805	6,69
254,400	21,658	6,69
254,600	21,788	6,69
254,800	21,952	6,69
255,000	21,985	6,69
255,200	21,821	6,69
255,400	21,870	6,68
255,600	21,821	6,68
255,800	22,181	6,67
256,000	21,772	6,68
256,200	22,116	6,67
256,400	22,132	6,67
256,600	21,903	6,68
256,800	21,952	6,68
257,000	21,903	6,68
257,200	22,050	6,69
257,400	22,001	6,69
257,600	21,985	6,68
257,800	21,903	6,69
258,000	22,018	6,69
258,200	22,214	6,69
258,400	21,854	6,69
258,600	21,985	6,70
258,800	22,116	6,69
259,000	22,198	6,69
259,200	22,198	6,69
259,400	22,018	6,69
259,600	21,985	6,70
259,800	22,116	6,70
260,000	22,148	6,69
260,200	22,001	6,70
260,400	21,887	6,70
260,600	21,985	6,70
260,800	21,658	6,71
261,000	22,181	6,70
261,200	22,001	6,70
261,400	21,887	6,71
261,600	22,067	6,71
261,800	22,083	6,71
262,000	22,050	6,71
262,200	22,132	6,71
262,400	22,001	6,71
262,600	22,018	6,71
262,800	22,328	6,71
263,000	22,083	6,71
263,200	22,018	6,71
263,400	22,001	6,72
263,600	22,198	6,71
263,800	22,132	6,72
264,000	22,148	6,71
264,200	22,361	6,72
264,400	22,001	6,72
264,600	21,870	6,72
264,800	22,034	6,72
265,000	22,296	6,71
265,200	22,067	6,71
265,400	22,279	6,72
265,600	22,230	6,72
265,800	22,018	6,72
266,000	22,034	6,72
266,200	22,165	6,72
266,400	22,148	6,72
266,600	22,214	6,72
266,800	22,050	6,72
267,000	22,247	6,72
267,200	21,985	6,72
267,400	22,099	6,72
267,600	22,198	6,72
267,800	21,968	6,72
268,000	22,312	6,73
268,200	22,378	6,72
268,400	22,165	6,73
268,600	22,034	6,72
268,800	22,116	6,73
269,000	22,328	6,72
269,200	22,296	6,73
269,400	21,968	6,73
269,600	22,214	6,73
269,800	22,230	6,73
270,000	22,001	6,72
270,200	22,050	6,73
270,400	22,214	6,72
270,600	22,328	6,73
270,800	22,214	6,73
271,000	22,181	6,73
271,200	22,378	6,73
271,400	22,001	6,73
271,600	22,345	6,72
271,800	22,296	6,73
272,000	21,985	6,73
272,200	21,936	6,73
272,400	22,410	6,73
272,600	22,099	6,73
272,800	22,099	6,73
273,000	21,838	6,73
273,200	22,034	6,73
273,400	22,328	6,73
273,600	22,279	6,73
273,800	22,361	6,74
274,000	22,165	6,73
274,200	22,181	6,73
274,400	22,181	6,74
274,600	22,279	6,73
274,800	22,099	6,74
275,000	22,116	6,73
275,200	22,427	6,74
275,400	21,968	6,74
275,600	22,165	6,73
275,800	22,132	6,74
276,000	22,198	6,74
276,200	22,508	6,74
276,400	22,214	6,74
276,600	22,116	6,74
276,800	22,459	6,74
277,000	22,590	6,74
277,200	22,607	6,74
277,400	22,312	6,75
277,600	22,492	6,74
277,800	22,263	6,74
278,000	22,132	6,74
278,200	22,214	6,74
278,400	22,378	6,74
278,600	22,165	6,74
278,800	22,312	6,75
279,000	22,492	6,75
279,200	22,443	6,75
279,400	22,328	6,74
279,600	22,361	6,74
279,800	22,181	6,74
280,000	22,099	6,75
280,200	22,312	6,74
280,400	22,263	6,74
280,600	22,263	6,75
280,800	22,410	6,75
281,000	22,410	6,74
281,200	22,525	6,75
281,400	22,410	6,75
281,600	22,443	6,75
281,800	22,361	6,75
282,000	22,459	6,74
282,200	22,459	6,75
282,400	22,574	6,75
282,600	22,525	6,75
282,800	22,541	6,75
283,000	22,345	6,75
283,200	22,459	6,76
283,400	22,558	6,75
283,600	22,590	6,75
283,800	22,656	6,75
284,000	22,427	6,76
284,200	22,541	6,75
284,400	22,328	6,75
284,600	22,623	6,76
284,800	22,459	6,76
285,000	22,508	6,75
285,200	22,427	6,76
285,400	22,492	6,76
285,600	22,656	6,76
285,800	22,999	6,75
286,000	22,590	6,75
286,200	22,508	6,75
286,400	22,623	6,75
286,600	22,427	6,75
286,800	22,934	6,76
287,000	22,819	6,76
287,200	22,639	6,75
287,400	22,885	6,75
287,600	22,525	6,75
287,800	22,525	6,76
288,000	22,688	6,76
288,200	22,623	6,76
288,400	22,754	6,76
288,600	22,770	6,76
288,800	22,770	6,74
289,000	22,639	6,70
289,200	22,950	6,66
289,400	22,688	6,62
289,600	23,048	6,59
289,800	23,114	6,56
290,000	23,163	6,53
290,200	23,179	6,49
290,400	23,147	6,46
290,600	23,147	6,43
290,800	23,196	6,40
291,000	23,212	6,39
291,200	23,016	6,38
291,400	23,277	6,36
291,600	23,097	6,34
291,800	23,343	6,34
292,000	23,359	6,34
292,200	23,196	6,34
292,400	23,392	6,35
292,600	23,359	6,36
292,800	23,572	6,38
293,000	23,408	6,39
293,200	23,392	6,42
293,400	23,507	6,44
293,600	23,457	6,46
293,800	23,572	6,47
294,000	23,621	6,49
294,200	23,507	6,50
294,400	23,359	6,52
294,600	23,457	6,53
294,800	23,441	6,54
295,000	23,261	6,55
295,200	23,310	6,55
295,400	23,539	6,55
295,600	23,310	6,56
295,800	23,490	6,57
296,000	23,327	6,57
296,200	23,343	6,57
296,400	23,261	6,57
296,600	23,474	6,57
296,800	23,523	6,57
297,000	23,343	6,58
297,200	23,441	6,58
297,400	23,408	6,58
297,600	23,310	6,58
297,800	23,294	6,57
298,000	23,605	6,57
298,200	23,425	6,58
298,400	23,277	6,58
298,600	23,147	6,57
298,800	23,212	6,57
299,000	23,359	6,57
299,200	23,523	6,56
299,400	23,261	6,57
299,600	23,294	6,57
299,800	23,228	6,57
300,000	23,408	6,57
300,200	23,114	6,57
300,400	23,310	6,57
300,600	23,408	6,57
300,800	23,392	6,57
301,000	23,441	6,57
301,200	23,392	6,57
301,400	23,359	6,57
301,600	23,425	6,57
301,800	23,277	6,57
302,000	23,327	6,58
302,200	23,114	6,57
302,400	23,327	6,57
302,600	23,196	6,57
302,800	23,277	6,56
303,000	23,408	6,57
303,200	23,228	6,56
303,400	23,212	6,55
303,600	23,277	6,55
303,800	23,294	6,55
304,000	23,425	6,54
304,200	23,294	6,54
304,400	23,065	6,53
304,600	23,327	6,53
304,800	23,277	6,52
305,000	23,327	6,52
305,200	23,327	6,51
305,400	23,392	6,50
305,600	23,310	6,50
305,800	23,196	6,50
306,000	23,114	6,50
306,200	23,408	6,50
306,400	23,310	6,49
306,600	23,441	6,49
306,800	23,065	6,48
307,000	23,212	6,47
307,200	23,327	6,47
307,400	23,474	6,47
307,600	23,523	6,47
307,800	23,801	6,46
308,000	23,605	6,47
308,200	23,556	6,47
308,400	23,703	6,47
308,600	23,752	6,47
308,800	23,425	6,47
309,000	23,621	6,48
309,200	23,719	6,47
309,400	23,719	6,47
309,600	23,621	6,46
309,800	23,572	6,46
310,000	23,572	6,46
310,200	23,621	6,45
310,400	23,605	6,45
310,600	23,703	6,44
310,800	23,637	6,45
311,000	23,850	6,44
311,200	23,752	6,44
311,400	23,752	6,42
311,600	23,703	6,42
311,800	23,621	6,42
312,000	23,687	6,42
312,200	23,932	6,41
312,400	23,719	6,41
312,600	23,588	6,40
312,800	23,850	6,40
313,000	23,719	6,39
313,200	23,850	6,39
313,400	23,752	6,38
313,600	23,916	6,38
313,800	24,030	6,37
314,000	23,801	6,36
314,200	23,408	6,36
314,400	23,801	6,35
314,600	23,605	6,35
314,800	23,687	6,34
315,000	23,605	6,33
315,200	23,834	6,33
315,400	23,605	6,31
315,600	23,817	6,31
315,800	23,310	6,31
316,000	23,785	6,30
316,200	23,834	6,29
316,400	23,670	6,29
316,600	23,916	6,28
316,800	23,834	6,28
317,000	23,752	6,27
317,200	23,867	6,26
317,400	23,637	6,26
317,600	23,834	6,25
317,800	23,932	6,24
318,000	23,474	6,24
318,200	23,572	6,23
318,400	23,801	6,22
318,600	23,850	6,22
318,800	23,572	6,22
319,000	23,687	6,21
319,200	23,703	6,20
319,400	23,703	6,20
319,600	23,654	6,19
319,800	23,785	6,19
320,000	23,670	6,18
320,200	23,539	6,17
320,400	23,637	6,16
320,600	23,654	6,16
320,800	23,621	6,15
321,000	23,899	6,15
321,200	23,523	6,14
321,400	23,376	6,13
321,600	23,572	6,13
321,800	23,621	6,11
322,000	23,916	6,11
322,200	23,703	6,10
322,400	23,703	6,10
322,600	23,457	6,10
322,800	23,654	6,08
323,000	23,441	6,07
323,200	23,588	6,08
323,400	23,621	6,06
323,600	23,523	6,06
323,800	23,556	6,05
324,000	23,588	6,04
324,200	23,408	6,03
324,400	23,670	6,03
324,600	23,588	6,02
324,800	23,523	6,01
325,000	23,687	6,00
325,200	23,539	5,99
325,400	23,490	5,99
325,600	23,457	5,98
325,800	23,392	5,97
326,000	23,736	5,97
326,200	23,343	5,96
326,400	23,310	5,95
326,600	23,507	5,94
326,800	23,441	5,93
327,000	23,556	5,93
327,200	23,457	5,92
327,400	23,507	5,90
327,600	23,457	5,90
327,800	23,507	5,89
328,000	23,621	5,88
328,200	23,376	5,87
328,400	23,408	5,86
328,600	23,605	5,86
328,800	23,343	5,85
329,000	23,408	5,83
329,200	23,687	5,82
329,400	23,588	5,82
329,600	23,408	5,82
329,800	23,392	5,81
330,000	23,408	5,80
330,200	23,228	5,79
330,400	23,572	5,79
330,600	23,245	5,77
330,800	23,588	5,77
331,000	23,490	5,76
331,200	23,441	5,75
331,400	23,425	5,74
331,600	23,736	5,73
331,800	23,327	5,72
332,000	23,474	5,70
332,200	23,294	5,69
332,400	23,457	5,68
332,600	23,343	5,66
332,800	23,277	5,65
333,000	23,277	5,64
333,200	23,457	5,63
333,400	23,457	5,63
333,600	23,294	5,62
333,800	23,572	5,61
334,000	23,343	5,60
334,200	23,376	5,60
334,400	23,408	5,58
334,600	23,277	5,57
334,800	23,343	5,56
335,000	23,196	5,55
335,200	23,425	5,55
335,400	23,441	5,54
335,600	23,212	5,53
335,800	23,261	5,52
336,000	23,179	5,51
336,200	23,310	5,51
336,400	23,408	5,50
336,600	23,376	5,49
336,800	23,441	5,48
337,000	23,457	5,47
337,200	23,212	5,46
337,400	23,343	5,45
337,600	23,327	5,44
337,800	23,196	5,44
338,000	23,294	5,43
338,200	23,212	5,42
338,400	23,065	5,42
338,600	23,130	5,41
338,800	23,147	5,39
339,000	23,376	5,38
339,200	23,376	5,38
339,400	23,425	5,37
339,600	23,425	5,36
339,800	23,376	5,35
340,000	23,081	5,34
340,200	23,245	5,33
340,400	23,228	5,33
340,600	23,359	5,31
340,800	23,212	5,30
341,000	23,294	5,29
341,200	23,147	5,28
341,400	23,245	5,27
341,600	23,097	5,26
341,800	23,408	5,25
342,000	23,261	5,24
342,200	23,196	5,22
342,400	23,048	5,22
342,600	23,294	5,21
342,800	23,163	5,20
343,000	23,048	5,19
343,200	23,114	5,18
343,400	22,983	5,17
343,600	23,408	5,17
343,800	23,130	5,16
344,000	23,097	5,14
344,200	23,196	5,14
344,400	23,147	5,13
344,600	23,130	5,12
344,800	23,196	5,12
345,000	23,212	5,11
345,200	23,310	5,10
345,400	23,179	5,09
345,600	22,999	5,08
345,800	22,836	5,08
346,000	23,032	5,07
346,200	23,179	5,07
346,400	23,065	5,06
346,600	23,032	5,05
346,800	22,868	5,04
347,000	23,032	5,04
347,200	23,130	5,03
347,400	23,048	5,04
347,600	23,261	5,03
347,800	23,097	5,03
348,000	23,310	5,03
348,200	23,097	5,02
348,400	22,967	5,02
348,600	23,228	5,01
348,800	23,114	5,01
349,000	23,130	5,00
349,200	23,081	5,00
349,400	23,114	5,01
349,600	23,130	5,00
349,800	23,065	4,99
350,000	22,836	4,99
350,200	23,130	4,98
350,400	23,081	4,98
350,600	22,983	4,96
350,800	23,179	4,95
351,000	23,081	4,95
351,200	23,179	4,94
351,400	23,163	4,94
351,600	23,081	4,94
351,800	23,327	4,92
352,000	23,032	4,91
352,200	23,261	4,91
352,400	23,277	4,90
352,600	23,032	4,88
352,800	23,196	4,88
353,000	23,097	4,87
353,200	23,179	4,86
353,400	23,179	4,85
353,600	23,212	4,84
353,800	23,097	4,83
354,000	23,097	4,82
354,200	23,179	4,81
354,400	23,294	4,80
354,600	23,196	4,79
354,800	23,277	4,78
355,000	23,097	4,77
355,200	22,967	4,77
355,400	23,179	4,75
355,600	23,212	4,74
355,800	23,114	4,74
356,000	22,999	4,72
356,200	22,967	4,72
356,400	23,376	4,70
356,600	22,950	4,69
356,800	23,327	4,68
357,000	22,967	4,68
357,200	22,950	4,66
357,400	23,687	4,65
357,600	25,192	4,64
357,800	31,901	4,64
358,000	68,602	4,67
358,200	139,370	4,71
358,400	218,663	4,76
358,600	304,517	4,80
358,800	382,239	4,85
359,000	453,760	4,89
359,200	519,979	4,92
359,400	573,681	4,96
359,600	617,860	4,99
359,800	652,729	5,02
360,000	683,981	5,04
360,200	702,831	5,06
360,400	715,103	5,08
360,600	723,480	5,11
360,800	728,356	5,12
361,000	732,005	5,14
361,200	736,341	5,15
361,400	737,667	5,16
361,600	739,532	5,18
361,800	740,350	5,19
362,000	740,727	5,20
362,200	741,594	5,21
362,400	741,937	5,23
362,600	741,937	5,24
362,800	742,150	5,25
363,000	741,986	5,26
363,200	741,856	5,27
363,400	742,363	5,28
363,600	742,199	5,29
363,800	742,363	5,30
364,000	742,117	5,31
364,200	742,526	5,32
364,400	742,526	5,33
364,600	742,428	5,34
364,800	742,346	5,35
365,000	742,232	5,35
365,200	742,314	5,36
365,400	742,494	5,38
365,600	742,625	5,38
365,800	742,739	5,39
366,000	742,805	5,40
366,200	742,952	5,41
366,400	742,756	5,42
366,600	742,592	5,43
366,800	743,083	5,43
367,000	742,706	5,44
367,200	742,886	5,45
367,400	743,066	5,46
367,600	743,181	5,47
367,800	743,083	5,47
368,000	742,788	5,48
368,200	742,935	5,49
368,400	743,132	5,50
368,600	743,066	5,50
368,800	743,345	5,51
369,000	743,099	5,52
